# ambush.mid — 4/4, 165bpm, 32 bars
# Format: bar N: beat pitch duration-in-quarter-notes
# duration is GATE TIME (how long the chip held the note), NOT a notated value.
# RHYTHM comes from ONSET SPACING (the beat column), never from duration:
# staccato eighths gate at ~0.33 and are still eighths, not triplets.
# Pitches use sharp spelling; the true key is Josh's to discover — this file states no key.

## track 1 (pulse1)
bar 1: 1 E4 0.5
bar 2: 1 E4 0.5
bar 3: 1 E4 0.5, 3 E4 0.5
bar 4: 1 E4 0.5, 2 E4 0.5, 3 E4 0.5, 4 E4 0.5
bar 5: 1 E5 0.67, 1.67 G5 0.67, 2.33 F#5 0.67, 3 D5 0.67, 3.67 F#5 0.67, 4.33 E5 0.67
bar 6: 1 C5 2.67
bar 7: 1 F#5 0.67, 1.67 A5 0.67, 2.33 G5 0.67, 3 D5 0.67, 3.67 F#5 0.67, 4.33 G5 0.67
bar 8: 1 E5 2.67
bar 9: 1 G5 0.67, 2.33 A5 0.67, 3 E5 0.67, 3.67 A5 0.67, 4.33 F#5 0.67, 1.67 B5 0.67
bar 10: 1 G5 0.67, 1.67 A5 0.67, 2.33 B5 0.67, 3 C6 0.67, 3.67 B5 0.67, 4.33 A5 0.67
bar 11: 1 D6 0.67, 1.67 C6 0.67, 2.33 A5 0.67, 3 F#5 0.67, 3.67 D6 0.67, 4.33 E6 0.67
bar 12: 1 F#6 4
bar 13: 1 G4 0.5, 1.5 A4 0.25, 1.75 G4 0.25, 2 B4 1, 3.5 D5 0.5, 4 C5 0.5, 4.5 D5 0.5
bar 14: 1 E4 0.5, 1.5 F#4 0.25, 1.75 E4 0.25, 2 A4 1, 3.5 C5 0.5, 4 C#5 0.5, 4.5 D5 0.5
bar 15: 1 D6 0.25, 3 B5 0.25, 2 C6 0.25, 4 A5 0.25, 1.5 D6 0.25, 3.5 B5 0.25, 2.5 C6 0.25, 4.5 A5 0.25, 1.25 D6 0.25, 3.25 B5 0.25, 2.25 C6 0.25, 4.25 A5 0.25, 1.75 D6 0.25, 3.75 B5 0.25, 2.75 C6 0.25, 4.75 A5 0.25
bar 16: 1 G4 0.5, 1.5 A4 0.25, 1.75 G4 0.25, 2 B4 1, 3.5 D5 0.5, 4 C5 0.5, 4.5 D5 0.5
bar 17: 1 E4 0.5, 1.5 F#4 0.25, 1.75 E4 0.25, 2 A4 1, 3.5 C5 0.5, 4 C#5 0.5, 4.5 D5 0.5
bar 18: 1 G5 0.25, 3 B5 0.25, 2 A5 0.25, 4 C6 0.25, 1.5 G5 0.25, 3.5 B5 0.25, 2.5 A5 0.25, 4.5 D6 0.25, 1.25 G5 0.25, 3.25 B5 0.25, 2.25 A5 0.25, 4.25 C6 0.25, 1.75 G5 0.25, 3.75 B5 0.25, 2.75 A5 0.25, 4.75 D6 0.25
bar 19: 4.5 D6 0.25, 4.75 D6 0.25, 1 G5 0.25, 3 B5 0.25, 2 A5 0.25, 4 C6 0.25, 1.5 G5 0.25, 3.5 B5 0.25, 2.5 A5 0.25, 1.25 G5 0.25, 3.25 B5 0.25, 2.25 A5 0.25, 4.25 C6 0.25, 1.75 G5 0.25, 3.75 B5 0.25, 2.75 A5 0.25
bar 20: 1 F#6 0.25, 3 D#5 0.25, 2 D#6 0.25, 1.5 C6 0.25, 4 D#6 0.25, 2.5 A5 0.25, 3.5 A5 0.25, 4.5 A6 0.25, 1.25 D#6 0.25, 3.25 F#5 0.25, 2.25 C6 0.25, 1.75 A5 0.25, 4.25 F#6 0.25, 2.75 F#5 0.25, 3.75 C6 0.25, 4.75 C7 0.25

## track 2 (pulse2)
bar 1: 1 E3 0.5
bar 2: 1 E3 0.5
bar 3: 1 E3 0.5, 3 E3 0.5
bar 4: 1 E3 0.5, 2 E3 0.5, 3 E3 0.5, 4 E3 0.5
bar 5: 1 E3 0.25, 1.25 B3 0.25, 1.5 G3 0.25, 1.75 B3 0.25, 2 E3 0.25, 2.25 B3 0.25, 2.5 G3 0.25, 2.75 B3 0.25, 3 E3 0.25, 3.25 B3 0.25, 3.5 G3 0.25, 3.75 B3 0.25, 4 E3 0.25, 4.25 B3 0.25, 4.5 G3 0.25, 4.75 B3 0.25
bar 6: 1 E3 0.25, 1.25 C4 0.25, 1.5 G3 0.25, 1.75 C4 0.25, 2 E3 0.25, 2.25 C4 0.25, 2.5 G3 0.25, 2.75 C4 0.25, 3 E3 0.25, 3.25 C4 0.25, 3.5 G3 0.25, 3.75 C4 0.25, 4 E3 0.25, 4.25 C4 0.25, 4.5 G3 0.25, 4.75 C4 0.25
bar 7: 1 A3 0.25, 1.25 F#3 0.25, 1.5 A3 0.25, 1.75 D3 0.25, 2 A3 0.25, 2.25 F#3 0.25, 2.5 A3 0.25, 2.75 D3 0.25, 3 A3 0.25, 3.25 F#3 0.25, 3.5 A3 0.25, 3.75 D3 0.25, 4 A3 0.25, 4.25 F#3 0.25, 4.5 A3 0.25, 4.75 D3 0.25
bar 8: 1 E3 0.25, 1.25 B3 0.25, 1.5 G3 0.25, 1.75 B3 0.25, 2 E3 0.25, 2.25 B3 0.25, 2.5 G3 0.25, 2.75 B3 0.25, 3 E3 0.25, 3.25 B3 0.25, 3.5 G3 0.25, 3.75 B3 0.25, 4 E3 0.25, 4.25 B3 0.25, 4.5 G3 0.25, 4.75 B3 0.25
bar 9: 1 E3 0.25, 1.25 B3 0.25, 1.5 G3 0.25, 1.75 B3 0.25, 2 E3 0.25, 2.25 B3 0.25, 2.5 G3 0.25, 2.75 B3 0.25, 3 E3 0.25, 3.25 B3 0.25, 3.5 G3 0.25, 3.75 B3 0.25, 4 E3 0.25, 4.25 B3 0.25, 4.5 G3 0.25, 4.75 B3 0.25
bar 10: 1 G3 0.25, 1.25 D4 0.25, 1.5 B3 0.25, 1.75 D4 0.25, 2 G3 0.25, 2.25 D4 0.25, 2.5 B3 0.25, 2.75 D4 0.25, 3 G3 0.25, 3.25 D4 0.25, 3.5 B3 0.25, 3.75 D4 0.25, 4 G3 0.25, 4.25 D4 0.25, 4.5 B3 0.25, 4.75 D4 0.25
bar 11: 1 D4 0.25, 1.25 A3 0.25, 1.5 D4 0.25, 1.75 F#3 0.25, 2 D4 0.25, 2.25 A3 0.25, 2.5 D4 0.25, 2.75 F#3 0.25, 3 D4 0.25, 3.25 A3 0.25, 3.5 D4 0.25, 3.75 F#3 0.25, 4 D4 0.25, 4.25 A3 0.25, 4.5 D4 0.25, 4.75 F#3 0.25
bar 12: 1 B3 0.25, 1.25 D#4 0.25, 1.5 F#4 0.25, 1.75 D#4 0.25, 2 B3 0.25, 2.25 D#4 0.25, 2.5 F#4 0.25, 2.75 D#4 0.25, 3 B3 0.25, 3.25 D#4 0.25, 3.5 F#4 0.25, 3.75 D#4 0.25, 4 B3 0.25, 4.25 D#4 0.25, 4.5 F#4 0.25, 4.75 D#4 0.25
bar 13: 1 D4 0.5, 1.5 E4 0.25, 1.75 D4 0.25, 2 G4 1, 3.5 G4 0.5, 4 A4 0.5, 4.5 G4 0.5
bar 14: 1 C4 0.5, 1.5 A3 0.25, 1.75 C4 0.25, 2 E4 1, 3.5 A4 0.5, 4 A#4 0.5, 4.5 B4 0.5
bar 15: 1 A5 0.25, 3 F#5 0.25, 2 G5 0.25, 4 E5 0.25, 1.5 A5 0.25, 3.5 F#5 0.25, 2.5 G5 0.25, 4.5 E5 0.25, 1.25 A5 0.25, 3.25 F#5 0.25, 2.25 G5 0.25, 4.25 E5 0.25, 1.75 A5 0.25, 3.75 F#5 0.25, 2.75 G5 0.25, 4.75 E5 0.25
bar 16: 1 D4 0.5, 1.5 E4 0.25, 1.75 D4 0.25, 2 G4 1, 3.5 G4 0.5, 4 A4 0.5, 4.5 G4 0.5
bar 17: 1 C4 0.5, 1.5 A3 0.25, 1.75 C4 0.25, 2 E4 1, 3.5 A4 0.5, 4 A#4 0.5, 4.5 B4 0.5
bar 18: 1 D5 0.25, 3 F#5 0.25, 2 E5 0.25, 4 G5 0.25, 1.5 D5 0.25, 3.5 F#5 0.25, 2.5 E5 0.25, 4.5 A5 0.25, 1.25 D5 0.25, 3.25 F#5 0.25, 2.25 E5 0.25, 4.25 G5 0.25, 1.75 D5 0.25, 3.75 F#5 0.25, 2.75 E5 0.25, 4.75 A5 0.25
bar 19: 1 D5 0.25, 3 F#5 0.25, 2 E5 0.25, 4 G5 0.25, 1.5 D5 0.25, 3.5 F#5 0.25, 2.5 E5 0.25, 4.5 A5 0.25, 1.25 D5 0.25, 3.25 F#5 0.25, 2.25 E5 0.25, 4.25 G5 0.25, 1.75 D5 0.25, 3.75 F#5 0.25, 2.75 E5 0.25, 4.75 A5 0.25
bar 20: 1 A3 0.25, 1.25 C4 0.25, 1.5 D#4 0.25, 1.75 F#4 0.25, 2 C4 0.25, 2.25 D#4 0.25, 2.5 F#4 0.25, 2.75 A4 0.25, 3 D#4 0.25, 3.25 F#4 0.25, 3.5 A4 0.25, 3.75 C5 0.25, 4 F#4 0.25, 4.25 A4 0.25, 4.5 C5 0.25, 4.75 D#5 0.25

## track 3 (triangle)
bar 1: 1 E2 0.42, 1.5 E2 0.21, 1.75 E2 0.21, 2 E2 0.42, 2.5 E2 0.21, 2.75 E2 0.21, 3 E2 0.42, 3.5 E2 0.21, 3.75 E2 0.21, 4 E2 0.42, 4.5 E2 0.21, 4.75 E2 0.21
bar 3: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 4: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 5: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 6: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 7: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 8: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 9: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 10: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 11: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 12: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 13: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 14: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 15: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 16: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 17: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 18: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 19: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 20: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 21: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 22: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 23: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 24: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 25: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 26: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 27: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 28: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 29: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 30: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 31: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13
bar 32: 1 C2 0.25, 1 F#2 0.13, 1.5 F#2 0.13, 2 D2 0.33, 2 F#2 0.13, 2.5 F#2 0.13, 3 C2 0.25, 3 F#2 0.13, 3.5 F#2 0.13, 4 D2 0.33, 4 F#2 0.13, 4.5 F#2 0.13

## track 5 (voice5)
